,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact,Available Bikes,Empty Slots,Number of Bikes
45,Bedford Ave & Bergen St,40.676368,-73.952918,Asian Fusion,La'Mode BK,4.5,22,1401 Bedford Ave,(718) 316-9100,4,14,18
46,Bedford Ave & Bergen St,40.676368,-73.952918,Tapas Bars,La Ñapa,4.5,113,656 Nostrand Ave,(347) 435-0920,4,14,18
47,Bedford Ave & Bergen St,40.676368,-73.952918,Japanese,Uotora,4.5,123,1075 Bergen St,(718) 513-0724,4,14,18
48,Bedford Ave & Bergen St,40.676368,-73.952918,Pizza,Barboncino Pizza & Bar,4.5,1138,781 Franklin Ave,(718) 483-8834,4,14,18
49,Bedford Ave & Bergen St,40.676368,-73.952918,Ethiopian,Ras Plant Based,5.0,347,739 Franklin Ave,(718) 701-8801,4,14,18
50,Bedford Ave & Bergen St,40.676368,-73.952918,Caribbean,Suite 704  Restaurant,3.5,177,704 Nostrand Ave,(718) 975-7001,4,14,18
51,Bedford Ave & Bergen St,40.676368,-73.952918,French,Oxalis,4.5,246,791 Washington Ave,(347) 627-8298,4,14,18
52,Bedford Ave & Bergen St,40.676368,-73.952918,Cocktail Bars,Altar,4.5,67,645 Sterling Pl,(347) 627-8298,4,14,18
53,Bedford Ave & Bergen St,40.676368,-73.952918,Cocktail Bars,The Ryerson,4.5,132,698 Nostrand Ave,(347) 406-9703,4,14,18
54,Bedford Ave & Bergen St,40.676368,-73.952918,Mexican,Chavela's,4.0,1283,736 Franklin Ave,(718) 622-3100,4,14,18
55,Bedford Ave & Bergen St,40.676368,-73.952918,American (New),Hart's Restaurant,4.5,118,506 Franklin Ave,(718) 636-6228,4,14,18
56,Bedford Ave & Bergen St,40.676368,-73.952918,Cajun/Creole,Nostrand Social,4.0,48,706 Nostrand Ave,(718) 576-6781,4,14,18
57,Bedford Ave & Bergen St,40.676368,-73.952918,Cocktail Bars,Super Power,4.5,175,722 Nostrand Ave,(718) 484-0020,4,14,18
58,Bedford Ave & Bergen St,40.676368,-73.952918,Breakfast & Brunch,Seven Restaurant,4.5,118,470 Nostrand Ave,(718) 230-7777,4,14,18
59,Bedford Ave & Bergen St,40.676368,-73.952918,Japanese,Silver Rice,4.5,337,638 Park Pl,(718) 398-8100,4,14,18
60,28 St & 41 Ave,40.751047,-73.93797,American (New),Carla,4.5,163,25-03 40th Avenue,(929) 204-6264,4,18,22
61,28 St & 41 Ave,40.751047,-73.93797,Wine Bars,Murray's Cheese Bar,4.0,870,28-30 Jackson Ave,(347) 990-2130,4,18,22
62,28 St & 41 Ave,40.751047,-73.93797,Szechuan,Da Long Yi Hot Pot,5.0,156,42-22 Crescent St,(347) 813-4569,4,18,22
63,28 St & 41 Ave,40.751047,-73.93797,Chicken Wings,THE HUNTRESS whiskey n' wings,4.0,237,24-03 41st Ave,(718) 685-2922,4,18,22
64,28 St & 41 Ave,40.751047,-73.93797,Ramen,Kyuramen - Long Island City,4.0,193,27-17 42nd Rd,(718) 786-6918,4,18,22
65,28 St & 41 Ave,40.751047,-73.93797,Barbeque,John Brown BBQ,4.0,157,27-20 40th Ave,(347) 617-1120,4,18,22
66,28 St & 41 Ave,40.751047,-73.93797,Thai,House of Thai,4.0,355,2501 40th Ave,(929) 522-0247,4,18,22
67,28 St & 41 Ave,40.751047,-73.93797,Sushi Bars,Ooi Sushi and Bar,4.5,313,42-36 Crescent St,(718) 433-1888,4,18,22
68,28 St & 41 Ave,40.751047,-73.93797,Halal,Hot Peppers,4.5,136,28-21 Steinway St,(347) 676-7566,4,18,22
69,28 St & 41 Ave,40.751047,-73.93797,American (New),The Beast Next Door,4.0,263,42-51 27th St,(718) 255-1612,4,18,22
70,28 St & 41 Ave,40.751047,-73.93797,Indian,Raj's Indian Kitchen,4.0,347,42-12 28th St,(718) 361-8844,4,18,22
71,28 St & 41 Ave,40.751047,-73.93797,Pizza,Beebe's,4.0,173,38-28 27th St,(718) 208-2895,4,18,22
72,28 St & 41 Ave,40.751047,-73.93797,Sushi Bars,Suzuki Shokudo,4.5,204,38-01 31st St,(718) 472-3778,4,18,22
73,28 St & 41 Ave,40.751047,-73.93797,Pizza,Levante,4.0,345,26-21 Jackson Ave,(718) 392-3885,4,18,22
74,28 St & 41 Ave,40.751047,-73.93797,Afghan,Sami's Kabab House,4.5,542,35-57 Crescent St,(917) 832-7165,4,18,22
75,28 St & 41 Ave,40.751047,-73.93797,Coffee & Tea,Knock Knock,4.5,57,42-44 Crescent St,(929) 600-5568,4,18,22
76,28 St & 41 Ave,40.751047,-73.93797,Japanese,Sapps,4.0,289,27-26 Jackson Ave,(718) 784-5555,4,18,22
77,28 St & 41 Ave,40.751047,-73.93797,Sushi Bars,Sake Kawa,4.5,244,32-05 36th Ave,(718) 777-0117,4,18,22
78,28 St & 41 Ave,40.751047,-73.93797,Brazilian,Beija Flor,4.0,292,38-02 29th St,(718) 606-2468,4,18,22
79,28 St & 41 Ave,40.751047,-73.93797,Mexican,Chela & Garnacha,4.5,439,33-09 36th Ave,(917) 832-6876,4,18,22
80,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Southern,Melba's Restaurant,4.0,1755,300 W 114th St,(212) 864-7777,32,0,32
81,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,American (Traditional),BLVD Bistro,4.0,1400,2149 Frederick Douglass Blvd,(212) 678-6200,32,0,32
82,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Bars,The Calaveras,4.5,231,949 Columbus Ave,(646) 484-6533,32,0,32
83,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Seafood,LoLo's Seafood Shack,4.0,826,303 W 116th St,(646) 649-3356,32,0,32
84,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Ethiopian,Lalibela Ethiopian Restaurant,4.0,38,2084 Frederick Douglass Blvd,(917) 881-9775,32,0,32
85,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,American (New),Row House,3.5,454,2128 Frederick Douglass Blvd,(212) 256-0019,32,0,32
86,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Food Delivery Services,VeganHood,4.5,94,2100 Frederick Douglass Blvd,(917) 265-8172,32,0,32
87,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Wine Bars,Ortomare Ristorante Pizzeria,4.5,142,994 Columbus Ave,(212) 665-2970,32,0,32
88,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Lounges,67 Orange Street,4.0,438,2082 Frederick Douglas Blvd,(212) 662-2030,32,0,32
89,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Italian,Osteria Laura,4.5,52,1890 Adam Clayton Powell Jr Blvd,(917) 261-6575,32,0,32
90,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Breakfast & Brunch,Harlem Biscuit Company,4.5,209,2099 Frederick Douglas Blvd,(929) 390-1472,32,0,32
91,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Italian,Lido,4.0,1197,2168 Frederick Douglass Blvd,(646) 490-8575,32,0,32
92,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Cocktail Bars,Nobody Told Me,4.5,237,951 Amsterdam Ave,(646) 490-8575,32,0,32
93,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Seafood,B2runch Harlem,4.0,337,271 W 119th St,(212) 280-2248,32,0,32
94,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,American (New),Archer & Goat,4.5,188,187 Lenox Ave,(917) 261-6602,32,0,32
95,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Bars,Enoteca Harlem,5.0,38,2220 Frederick Douglas,(917) 261-6602,32,0,32
96,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Pubs,Harlem Tavern,3.5,1411,2153 Frederick Douglass Blvd,(212) 866-4500,32,0,32
97,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,African,La Savane,4.0,97,239 W 116th St,(646) 490-4644,32,0,32
98,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Sardinian,Arco Cafe,4.5,353,886 Amsterdam Ave,(646) 781-9080,32,0,32
99,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,Noodles,The Tang - Upper West Side,4.5,302,920 Amsterdam Ave,(646) 596-7970,32,0,32
100,3 Ave & E 112 St,40.795508,-73.941606,Steakhouses,Ricardo Steak House,4.0,1471,2145 2nd Ave,(212) 289-5895,19,0,19
101,3 Ave & E 112 St,40.795508,-73.941606,Cuban,Amor Cubano,4.0,578,2018 3rd Ave,(212) 996-1220,19,0,19
102,3 Ave & E 112 St,40.795508,-73.941606,Latin American,Cascalote Latin Bistro,4.5,399,2126 2nd Ave,(646) 351-6574,19,0,19
103,3 Ave & E 112 St,40.795508,-73.941606,Tapas Bars,El Kallejon,4.5,343,209 E 117th St,(646) 649-4795,19,0,19
104,3 Ave & E 112 St,40.795508,-73.941606,Tapas/Small Plates,GAUDIr,4.5,71,251 E 110th St,(212) 744-4422,19,0,19
105,3 Ave & E 112 St,40.795508,-73.941606,Food Trucks,Sidewalk Tacos,4.5,142,2163 2nd Ave,(646) 454-9255,19,0,19
106,3 Ave & E 112 St,40.795508,-73.941606,Dominican,Santiago's Beer Garden,4.5,887,2337 1st Ave,(212) 920-6165,19,0,19
107,3 Ave & E 112 St,40.795508,-73.941606,Mexican,La Chula,4.0,246,137 E 116th St,(646) 590-3975,19,0,19
108,3 Ave & E 112 St,40.795508,-73.941606,Beer Bar,East Harlem Bottling,4.0,239,1711 Lexington Ave,(646) 922-7705,19,0,19
109,3 Ave & E 112 St,40.795508,-73.941606,Italian,Nocciola Ristorante,4.0,264,237 E 116th St,(646) 559-5304,19,0,19
110,3 Ave & E 112 St,40.795508,-73.941606,Peruvian,Contento,4.5,104,88 E 111th St,(646) 410-0111,19,0,19
111,3 Ave & E 112 St,40.795508,-73.941606,Soul Food,SpaHa Soul and Bone Broth,4.5,134,2294 Second Ave,(347) 463-7387,19,0,19
112,3 Ave & E 112 St,40.795508,-73.941606,Mexican,Las Delicias Mexicanas,4.0,90,2109 3rd Ave,(212) 828-3659,19,0,19
113,3 Ave & E 112 St,40.795508,-73.941606,Latin American,La Avenida,4.5,109,2247 1st Ave,(212) 828-2247,19,0,19
114,3 Ave & E 112 St,40.795508,-73.941606,American (New),Archer & Goat,4.5,188,187 Lenox Ave,(917) 261-6602,19,0,19
115,3 Ave & E 112 St,40.795508,-73.941606,Mexican,Ollin Restaurant,4.0,462,339 E 108th St,(212) 828-3644,19,0,19
116,3 Ave & E 112 St,40.795508,-73.941606,Mexican,Hot Jalapeño,3.5,96,219 E 116th St,(646) 351-6895,19,0,19
117,3 Ave & E 112 St,40.795508,-73.941606,Tapas/Small Plates,Perch,4.5,45,1693 Lexington Ave,(646) 351-6895,19,0,19
118,3 Ave & E 112 St,40.795508,-73.941606,Breakfast & Brunch,Amuse Bouche Bistro,5.0,40,1590 Park Ave,(917) 710-3111,19,0,19
119,3 Ave & E 112 St,40.795508,-73.941606,Cocktail Bars,Bar Goyana,4.5,50,177 E 100th St,(917) 213-4480,19,0,19
120,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Pizza,NY Pizza Suprema,4.5,2519,413 8th Ave,(212) 594-8939,61,26,87
121,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Italian,Ci Siamo,4.5,343,440 West 33rd St,(212) 219-6559,61,26,87
122,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Ramen,Tonchin,4.5,1950,13 W 36th St,(646) 692-9912,61,26,87
123,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Ramen,Kame,4.5,768,330 8th Ave,(917) 391-8587,61,26,87
124,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Sushi Bars,Zen Ramen & Sushi,4.5,2647,150 W 36th street,(646) 870-7509,61,26,87
125,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Korean,Anytime Kitchen ,4.5,2710,23 W 32nd St,(646) 669-7733,61,26,87
126,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,American (New),Eleven Madison Park,4.5,2432,11 Madison Ave,(212) 889-0905,61,26,87
127,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Vegan,Beyond Sushi,4.5,712,134 West 37th St,(212) 564-0869,61,26,87
128,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Cocktail Bars,Juniper Bar,4.0,662,237 W 35th St,(212) 967-2511,61,26,87
129,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Gastropubs,Haymaker Bar and Kitchen,4.0,395,252 W 29th St,(646) 429-8237,61,26,87
130,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Cuban,Calle Dao Chelsea,4.5,1040,461 W 23rd St,(212) 414-4104,61,26,87
131,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Latin American,Buena Vista Restaurant & Bar,4.5,372,536 9th Ave,(212) 388-5040,61,26,87
132,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Bars,Pennsylvania 6 NYC,4.0,617,132 W 31st St,(212) 727-3666,61,26,87
133,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Tapas Bars,Izakaya MEW,4.5,2853,53 W 35th St,(646) 368-9384,61,26,87
134,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,French,OCabanon,4.0,456,245 W 29th St,(646) 669-7879,61,26,87
135,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Bars,The Ragtrader & Bo Peep Cocktail and Highball Store,4.5,801,70 W 36th St,(917) 261-5495,61,26,87
136,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Middle Eastern,Shukette,4.5,324,230 9th Ave,(917) 261-5495,61,26,87
137,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,American (New),American Whiskey,3.5,351,247 W 30th St,(212) 967-1070,61,26,87
138,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Pubs,Maggie Reillys Restaurant,4.0,110,340 9th Ave,(646) 476-3209,61,26,87
139,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,Italian,biricchino,4.0,178,260 W 29th St,(212) 695-6690,61,26,87
140,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Thai,Nourish,4.0,381,637A Vanderbilt Ave,(718) 789-3981,8,12,20
141,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,American (New),Olmsted,4.0,487,659 Vanderbilt Ave,(718) 552-2610,8,12,20
142,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Mexican,Alta Calidad,4.0,267,552 Vanderbilt Ave,(718) 622-1111,8,12,20
143,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Thai,The Nuaa Table,4.5,86,638 Bergen St,(718) 623-6395,8,12,20
144,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Italian,Faun,4.0,221,606 Vanderbilt Ave,(718) 576-6120,8,12,20
145,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Wine Bars,LaLou,4.0,94,581 Vanderbilt Ave,(718) 857-9463,8,12,20
146,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,American (New),Patti Ann's,4.0,75,570 Vanderbilt Ave,(718) 857-9463,8,12,20
147,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Asian Fusion,Chuko,4.0,1103,565 Vanderbilt Ave,(347) 425-9570,8,12,20
148,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Mexican,Cruz Del Sur,4.5,83,622 Washington Ave,(347) 365-1618,8,12,20
149,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Izakaya,Ozakaya,4.5,140,635 Vanderbilt Ave,(929) 456-5956,8,12,20
150,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Sushi Bars,Sushi Lin Brooklyn,4.5,341,335 Flatbush Ave,(347) 627-6027,8,12,20
151,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Middle Eastern,Zaytoons,4.0,372,594 Vanderbilt Ave,(718) 230-3200,8,12,20
152,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Halal,Omar's Fine Cuisine,4.5,59,568 Vanderbilt Ave,(718) 618-0923,8,12,20
153,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,American (Traditional),Emily,4.0,924,919 Fulton St,(347) 844-9588,8,12,20
154,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Pizza,Brooklyn's Homeslice Pizzeria,4.5,196,567 Vanderbilt Ave,(718) 399-9000,8,12,20
155,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Wine Bars,Leland Eating and Drinking House ,4.5,79,755 Dean St,(646) 470-7008,8,12,20
156,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Persian/Iranian,Sofreh,4.0,422,75 St Marks Ave,(646) 798-1690,8,12,20
157,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Vietnamese,5ive Spice,4.5,950,52 5th Ave,(718) 857-3483,8,12,20
158,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Bars,Branded Saloon,3.5,281,603 Vanderbilt Ave,(718) 484-8704,8,12,20
159,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,Korean,White Tiger,3.5,226,601 Vanderbilt Ave,(718) 552-2272,8,12,20
160,Monroe St & Bedford Ave,40.6851443,-73.95380904,Vietnamese,Lucy's Vietnamese - Bedford Stuyvesant,4.0,40,1111 Bedford Ave,(718) 885-4446,16,2,18
161,Monroe St & Bedford Ave,40.6851443,-73.95380904,Seafood,King Of The Sea,3.5,164,1102 Bedford Ave,(718) 783-8000,16,2,18
162,Monroe St & Bedford Ave,40.6851443,-73.95380904,Tacos,Breuklyn Tequila & Taco Bar,3.5,146,1177 Bedford Ave,(718) 737-3832,16,2,18
163,Monroe St & Bedford Ave,40.6851443,-73.95380904,Breakfast & Brunch,Seven Restaurant,4.5,118,470 Nostrand Ave,(718) 230-7777,16,2,18
164,Monroe St & Bedford Ave,40.6851443,-73.95380904,American (New),Hart's Restaurant,4.5,118,506 Franklin Ave,(718) 636-6228,16,2,18
165,Monroe St & Bedford Ave,40.6851443,-73.95380904,Senegalese,Joloff,4.0,218,1168 Bedford Ave,(718) 230-0523,16,2,18
166,Monroe St & Bedford Ave,40.6851443,-73.95380904,Indian,Bombay Grill,4.5,287,1176 Bedford Ave,(718) 484-0004,16,2,18
167,Monroe St & Bedford Ave,40.6851443,-73.95380904,American (New),Baron's,4.0,345,564 Dekalb Ave,(718) 230-7100,16,2,18
168,Monroe St & Bedford Ave,40.6851443,-73.95380904,Mexican,Martha's Cocina Mexicana,4.5,35,338 Franklin Ave,(347) 240-5049,16,2,18
169,Monroe St & Bedford Ave,40.6851443,-73.95380904,American (Traditional),Rustik Tavern,4.0,588,471 Dekalb Ave,(347) 406-9700,16,2,18
170,Monroe St & Bedford Ave,40.6851443,-73.95380904,Seafood,Peaches Grand,4.0,395,285 Grand Ave,(718) 638-9500,16,2,18
171,Monroe St & Bedford Ave,40.6851443,-73.95380904,Pizza,Speedy Romeo,4.0,682,376 Classon Ave,(646) 542-1848,16,2,18
172,Monroe St & Bedford Ave,40.6851443,-73.95380904,Gastropubs,Sweet Brooklyn Bar And Grill,4.0,507,608 Nostrand Ave,(347) 425-0111,16,2,18
173,Monroe St & Bedford Ave,40.6851443,-73.95380904,Cocktail Bars,The Holler,4.5,39,348 Franklin Ave,(917) 966-5723,16,2,18
174,Monroe St & Bedford Ave,40.6851443,-73.95380904,Cajun/Creole,Soco,4.0,2360,509 Myrtle Ave,(718) 783-1936,16,2,18
175,Monroe St & Bedford Ave,40.6851443,-73.95380904,Bars,Chilo's,4.0,240,323 Franklin Ave,(718) 676-5245,16,2,18
176,Monroe St & Bedford Ave,40.6851443,-73.95380904,New Mexican Cuisine,Ursula,4.0,123,387 Nostrand Ave,(347) 365-4905,16,2,18
177,Monroe St & Bedford Ave,40.6851443,-73.95380904,Burgers,Three Maples,5.0,40,1452 Fulton St,(347) 365-9382,16,2,18
178,Monroe St & Bedford Ave,40.6851443,-73.95380904,Italian,Macosa Trattoria,4.5,64,310 Tompkins Ave,(646) 574-7866,16,2,18
179,Monroe St & Bedford Ave,40.6851443,-73.95380904,Southern,Peaches HotHouse,4.0,1454,415 Tompkins Ave,(718) 483-9111,16,2,18
180,35 Ave & 37 St,40.7557327,-73.9236611,Mexican,Tacuba,4.0,758,35-01 36th St,(718) 786-2727,21,8,29
181,35 Ave & 37 St,40.7557327,-73.9236611,Vietnamese,District Saigon,4.5,763,37-15 Broadway,(718) 956-0007,21,8,29
182,35 Ave & 37 St,40.7557327,-73.9236611,American (New),Vegoist,4.0,300,35-43 37th St,(718) 729-5665,21,8,29
183,35 Ave & 37 St,40.7557327,-73.9236611,Pizza,Sac's Place,4.0,563,3511 35th Ave,(718) 204-5002,21,8,29
184,35 Ave & 37 St,40.7557327,-73.9236611,Thai,Pye Boat Noodle,4.5,1035,35-13 Broadway,(718) 685-2329,21,8,29
